Phylum,INDO13S1A,INDO13S1B,INDO13S1C,INDO12S1A,INDO12S2A,INDO12S1B,INDO12S2B,INDO12S2C,INDO12S1C
Acanthocephala,0,0,0,5.31E-06,0,0,0,0,0
Amoebozoa,1.19E-05,1.26E-05,0,5.31E-06,6.96E-05,0,2.38E-05,1.89E-05,1.77E-05
Annelida,0.060063156,0.019561023,0.029904728,0.0339911,0.052117088,0.015879733,0.011630877,0.040082894,0.002587567
Arthropoda,0.041040228,0.03009834,0.026474032,0.019903409,0.015754163,0.01041004,0.003382183,0.014205959,0.007532582
Ascomycota,7.14E-05,0.0001388,2.46E-05,2.12E-05,5.70E-05,1.20E-05,2.39E-05,0.00013527,6.20E-05
Basidiomycota,0,1.26E-05,1.23E-05,1.59E-05,1.26E-05,0,1.02E-05,0,8.86E-06
Bigyra,0.000879752,0.005990198,0.001790333,0.001146895,0.001604929,0.000815191,0.00041884,0.001843688,0.001329157
Brachiopoda,5.94E-05,1.26E-05,0,0.000111538,2.52E-05,9.59E-05,3.41E-06,0.000232828,0
Bryozoa,0.04679967,0.01655339,0.018783748,0.159815783,0.058202645,0.083859054,0.031569649,0.06523874,0.019780557
Cercozoa,0.0001308,0.0003282,0.00032508,0.000615891,0.0006885,0.00034176,0.00020088,0.00038085,0.000673402
Chaetognatha,0,0,0,0,0,0,0,0,0
Charophyta,1.19E-05,6.32E-05,4.29E-05,1.06E-05,0,5.99E-06,6.82E-06,6.30E-06,0
Chlorophyta,0.001379011,0.004839173,0.002667521,0.005023663,0.003008023,0.002816581,0.001835985,0.00284433,0.007231413
Choanozoa,0.0001308,0.0001137,6.15E-05,5.83E-05,0.00012008,6.00E-05,2.73E-05,4.09E-05,2.66E-05
Chordata,0.181383675,0.181737823,0.420006285,0.042779489,0.337602359,0.192543835,0.066351353,0.153438234,0.262875568
Chytridiomycota,0,0,0,5.31E-06,0,0,6.81E-06,0,0
Ciliophora,0.00086791,0.001452667,0.000999526,0.004125526,0.004524346,0.001744288,0.001273695,0.002573817,0.00039858
Cnidaria,0.03495142,0.012092445,0.010900102,0.138776897,0.144129476,0.189934874,0.035671616,0.249880539,0.008064077
Cryptista,0,0,0,0,0,0,0,0,0
Ctenophora,0,0,0,0,0,5.99E-06,0,0,0
Echinodermata,0.019536848,0.000568739,0.000294307,0.000371715,0.001074302,0.00015583,8.18E-05,0.001035083,0.001045712
Entoprocta,0.006964309,0.002274626,0.001667456,0.002501574,0.006243781,0.001288331,9.88E-05,0.003703075,0.000310047
Gastrotricha,0.000107,2.52E-05,0.0001901,5.31E-06,3.15E-05,2.40E-05,1.36E-05,0.000490828,0
Glomeromycota,0,0,0,0,0,5.99E-06,0,0,0
Haptophyta,4.75E-05,2.53E-05,2.46E-05,2.12E-05,1.26E-05,5.99E-06,2.04E-05,2.83E-05,1.77E-05
Heliozoa,0,1.26E-05,0,0,1.26E-05,0,6.82E-06,3.15E-06,0
Hemichordata,0,0,0,0,0,0,0,3.15E-06,0
Hermichordata,0,0,0,0,0,0,0,0,0
Kinorhyncha,9.52E-05,0.0001642,6.75E-05,4.78E-05,6.32E-06,5.99E-06,0,6.61E-05,0
Loricifera,0,0,0,0,0,0,0,0,0
Loukozoa,0,1.26E-05,0,1.59E-05,2.53E-05,3.00E-05,1.70E-05,3.15E-06,0.00012406
Metamonada,0,0,0,5.31E-06,0,0,2.04E-05,5.67E-05,0
Miozoa,0.002973044,0.005734782,0.00370403,0.005956526,0.020911244,0.003279307,0.003606531,0.007098591,0.020274868
Mollusca,0.218516205,0.099987823,0.025692908,0.019003235,0.088789579,0.011043464,0.014312828,0.008365783,0.002596491
Nematoda,0.004137696,0.006860203,0.010258808,0.007072858,0.012607718,0.002703689,0.003702519,0.003759981,0.002604947
Nemertea,0.001295386,0.000139,0.00018393,0.000461854,0.001472448,0.000737011,0.00012596,0.001695764,3.54E-05
Ochrophyta,0.008333172,0.018460328,0.00619325,0.02400501,0.026263664,0.006370905,0.011103056,0.025160346,0.030424054
Orthonectida,0,0,0,0,0,0,0,0,0
Placozoa,0,0,0,1.59E-05,6.32E-06,5.99E-06,0,3.15E-06,0
Platyhelminthes,0.002971467,0.004283862,0.001171066,0.006356875,0.007987811,0.003272117,0.001931492,0.005392979,0.000957062
Porifera,0.270561629,0.217616047,0.304342845,0.265001744,0.041570183,0.060304964,0.033919428,0.131991951,0.026471474
Pseudofungi,1.19E-05,8.84E-05,5.52E-05,0.0001221,5.05E-05,4.20E-05,1.02E-05,4.40E-05,0.00011512
Retaria,0.003993244,0.006419541,0.004880057,0.00018043,0.000278052,0.00011993,9.53E-05,0.00042794,0.0001506
Rhodophyta,0.086446616,0.328497527,0.074130216,0.248230293,0.165292506,0.130297923,0.135008214,0.197116343,0.183371026
Rotifera,0,0,2.45E-05,5.31E-06,0,0,0,6.30E-06,0
Sipuncula,0.000130719,0.001781861,1.23E-05,0.000531079,0.000372784,0.00030576,0.000214569,0.000320815,0
Sulcozoa,0,0,1.23E-05,0,0,0,0,0,0
Sulcuzoa,0,0,0,1.06E-05,5.69E-05,5.99E-06,6.82E-06,6.30E-06,0
Tardigrada,0,0,0,0,0,0,0,0,0
Unknown,0.002388835,0.012081544,0.008055468,0.002527814,0.000695013,0.001306535,0.00018399,0.000792869,0.00060242
Xenacoelomorpha,3.57E-05,0.003513159,1.23E-05,0.000430196,0.000840352,0.00043749,0.0001533,0.000494027,1.77E-05
Zygomycota,0,0,0,5.31E-06,6.32E-06,0,3.41E-06,0,8.86E-06
NA,0,0,0,1.06E-05,0,5.99E-06,0,1.26E-05,8.86E-06