Phylum,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1A,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S1B,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2A,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2B,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO12S2C,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1A,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1B,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO13S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C,INDO12S1C
unavailable,4,3,53,53,3,3,53,53,4,3,47,55,4,3,57,60,4,4,13,6,3,55,58,4,2,58,50,4,4,51,59,4,1,51,51,4,4,4,4,3,53,57,4,4,56,57,2,3,57,60,1,3,52,53,3,3,4,2,4,57,54,1,2,56,54,2,2,54,54,1,3,56,52,3,3,6,2,2,57,65,2,4,62,74,4,3,61,62,4,2,61,59,4,3,5,4,4,58,56,5,4,52,55,4,4,54,55,4,3,58,51,4,3,4,4,4,60,54,2,3,56,60,3,4,58,65,3,4,65,65,4,2,0,4,4,49,57,3,4,56,60,4,5,59,62,4,5,54,47,3,4,0,3,2,53,57,3,4,50,52,1,2,51,51,2,4,56,57,2,1,4
unknown,13,0,63,6,69,20,42,12,49,3,71,15,64,36,36,5,62,47,59,25,2,55,8,77,16,56,12,56,8,64,8,64,34,91,28,46,28,44,34,1,56,10,64,5,75,2,73,11,69,6,77,16,79,17,67,11,59,43,0,63,16,65,25,59,15,83,28,72,23,72,14,54,11,43,4,44,3,5,66,18,135,35,75,22,92,25,67,5,94,7,94,21,136,47,59,14,33,54,14,59,31,55,20,112,24,49,21,84,26,44,12,113,26,19,11,1,72,13,77,47,69,15,99,17,54,2,128,85,79,12,103,42,55,5,5,55,21,134,34,67,16,117,34,63,21,105,30,76,25,143,21,33,51,2,81,16,78,29,63,20,96,32,65,38,44,37,68,48,107,44,45
none,195,0,29,71,13,86,48,58,12,51,52,61,5,24,43,69,11,31,118,165,3,68,62,32,17,43,50,20,60,28,52,7,9,16,33,34,83,164,144,3,55,52,24,51,9,40,3,42,22,50,12,23,9,24,56,40,144,141,3,19,41,18,30,28,41,11,67,19,44,48,67,37,71,41,110,144,204,3,66,47,2,6,39,45,29,70,35,53,5,56,22,34,10,114,159,167,12,56,59,13,16,37,39,19,22,48,40,34,42,41,43,25,56,194,190,12,41,58,7,22,47,39,15,34,51,46,7,26,27,68,3,26,150,190,14,70,43,10,25,58,37,36,9,56,61,25,8,34,52,5,23,185,137,2,10,28,4,20,32,35,17,21,28,28,5,15,23,25,16,35,155
Bryozoa,4,1,10,36,62,69,15,34,24,95,5,59,14,61,2,42,15,46,0,3,2,8,55,21,63,11,24,36,39,5,47,33,57,5,54,51,71,0,7,2,10,46,43,88,18,54,60,75,19,40,45,56,24,67,38,88,1,3,0,11,45,53,55,10,56,39,57,9,63,27,88,14,57,49,31,3,3,2,7,28,29,53,2,19,26,61,7,37,50,107,1,26,7,12,1,10,1,8,13,32,42,7,30,12,40,6,42,27,73,19,50,39,52,1,1,0,8,30,17,53,3,23,13,60,4,22,4,33,2,9,12,74,0,0,0,7,34,5,87,0,26,8,33,0,35,7,103,11,35,16,64,0,3,1,3,29,14,45,10,47,63,55,5,32,18,76,15,45,33,62,5
Porifera,6,81,36,29,27,20,38,43,96,53,12,22,113,66,63,29,100,76,6,18,88,29,33,48,93,31,68,75,62,44,44,78,105,16,49,61,15,3,26,95,17,47,42,44,19,55,22,43,12,40,38,69,7,44,15,45,7,24,73,38,55,28,47,23,31,16,19,29,21,8,24,27,19,41,25,9,7,73,11,55,7,104,17,43,13,47,18,37,19,18,2,56,36,17,0,12,74,10,61,40,93,39,42,34,83,14,19,41,33,23,28,15,24,1,15,76,19,53,94,65,16,63,77,53,28,50,54,46,13,44,93,54,1,23,60,20,55,54,48,23,47,20,73,17,21,48,42,21,20,38,81,2,25,62,50,86,87,99,43,61,4,52,43,58,128,54,41,39,24,50,14
Rhodophyta,2,129,33,14,29,9,29,7,35,5,34,4,22,8,24,8,22,10,12,2,112,10,5,36,15,26,12,27,6,28,11,33,9,42,7,18,4,4,0,100,32,11,40,2,42,5,51,11,37,5,32,4,51,12,36,6,10,1,111,28,8,40,18,46,8,43,25,38,8,42,18,29,8,14,5,12,0,127,17,9,42,10,30,15,42,9,35,13,43,15,42,21,29,23,1,5,66,39,8,25,12,24,9,28,8,39,7,18,4,35,11,10,8,1,0,108,21,9,25,11,29,9,14,9,30,7,15,6,26,4,5,7,0,0,112,21,3,18,7,19,16,36,10,26,13,26,5,24,9,12,5,0,0,149,24,7,31,18,23,9,35,25,33,13,11,8,16,10,12,8,1
Chlorophyta,0,11,0,1,11,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,33,0,0,0,3,0,0,0,0,2,2,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,0,0,27,1,0,22,12,2,0,1,1,2,0,1,2,3,0,1,23,3,4,0,1,4,0,2,3,0,1,9,0,9,0,4,0,0,0,30,3,2,0,0,0,1,0,2,3,3,7,3,0,1,4,0,0,0,7,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Protista,0,0,1,0,4,6,0,1,0,7,2,1,2,1,0,0,2,4,0,3,0,0,1,0,2,0,0,2,4,1,0,1,1,2,0,5,2,0,5,0,0,2,6,0,1,1,2,9,2,2,4,9,0,1,4,3,0,1,0,1,1,6,12,3,0,10,7,0,1,12,4,1,0,9,5,0,1,0,0,3,8,5,0,1,16,3,2,1,10,1,1,2,2,3,0,5,0,0,0,3,4,0,2,1,1,1,0,7,2,2,0,7,4,0,0,0,0,2,1,1,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,6,0,1,1,1,0,0,3,1,0,0,1,2,0,1,0,0,0,2,5,0,0,7,2,0,0,1,1,1,1,24,7,0
Mollusca,0,0,0,0,6,1,0,0,2,1,2,1,1,18,0,2,7,3,1,2,0,0,0,1,2,0,0,0,0,1,0,3,8,0,0,5,0,0,0,0,2,0,0,6,0,1,10,0,0,20,4,2,0,2,5,16,0,3,1,4,0,8,2,0,0,2,0,2,0,11,3,6,0,24,16,0,3,0,0,0,0,2,0,0,2,0,0,16,0,14,1,0,0,1,0,0,0,0,0,2,0,2,0,1,37,0,34,9,32,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,11,0,0,0,3,0,5,0,2,0,0,0,0,0,16,0,0,0,2,14,0
Annelida,0,0,0,3,1,5,0,12,1,5,0,7,0,1,0,4,1,3,16,0,0,0,2,3,5,0,8,0,4,3,4,2,1,1,3,1,4,6,1,0,0,0,1,1,3,2,2,30,6,2,12,34,3,5,0,1,0,6,0,4,3,6,13,0,7,0,5,0,9,3,1,1,5,0,3,7,1,0,0,0,0,2,0,2,1,4,0,1,0,1,1,6,1,0,0,5,0,0,1,19,2,9,4,2,4,14,5,0,6,2,11,4,5,5,3,1,1,1,1,1,1,2,1,3,0,1,1,2,0,2,0,0,19,3,0,0,4,0,4,2,5,1,5,0,8,0,4,4,4,0,3,5,3,0,0,1,1,1,2,0,2,1,0,3,0,0,0,0,4,3,1
Chordata,1,0,0,12,0,3,0,4,1,2,0,0,0,7,0,4,0,0,0,0,0,0,1,0,10,0,0,0,35,0,0,0,0,0,0,0,11,0,4,0,0,0,1,24,2,8,0,1,0,0,0,7,0,0,0,12,0,1,0,0,2,0,18,0,13,12,13,0,0,0,3,0,2,1,22,0,1,0,0,0,0,4,0,4,0,3,0,0,0,4,0,0,0,5,0,0,0,0,13,0,18,0,2,0,0,0,0,0,2,1,0,0,24,0,0,0,0,1,1,21,0,13,1,36,0,21,0,23,4,1,0,17,0,0,0,0,6,0,8,0,13,1,53,1,1,0,23,0,32,3,11,0,2,0,0,0,0,0,0,0,0,35,0,2,0,30,5,0,1,1,0
Cnidaria,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,1,5,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0